iter	Passed	Remaining
0	143	14179
1	151	7429
2	160	5184
3	169	4060
4	177	3376
5	185	2910
6	192	2556
7	198	2286
8	204	2070
9	208	1879
10	212	1716
11	216	1590
12	220	1478
13	224	1379
14	227	1291
15	231	1213
16	234	1144
17	237	1082
18	240	1027
19	244	976
20	247	930
21	250	887
22	253	849
23	257	815
24	260	782
25	264	752
26	267	724
27	271	697
28	274	672
29	278	648
30	281	626
31	285	606
32	288	586
33	292	567
34	296	549
35	300	534
36	303	517
37	306	500
38	310	484
39	312	469
40	316	455
41	319	441
42	322	427
43	325	414
44	328	401
45	331	389
46	335	377
47	337	366
48	340	354
49	344	344
50	347	333
51	350	323
52	353	313
53	356	303
54	359	294
55	362	285
56	366	276
57	369	267
58	372	258
59	375	250
60	378	242
61	382	234
62	385	226
63	388	218
64	391	210
65	395	203
66	398	196
67	401	188
68	405	182
69	408	174
70	411	168
71	414	161
72	417	154
73	420	147
74	423	141
75	426	134
76	429	128
77	432	122
78	436	116
79	439	109
80	442	103
81	446	98
82	450	92
83	453	86
84	456	80
85	459	74
86	462	69
87	465	63
88	468	57
89	471	52
90	474	46
91	478	41
92	481	36
93	484	30
94	487	25
95	490	20
96	493	15
97	497	10
98	500	5
99	502	0
